,ID,TARGET
0,0,5
1,1,0
2,2,0
3,3,7
4,4,7
5,5,0
6,6,2
7,7,5
8,8,0
9,9,7
10,10,1
11,11,7
12,12,7
13,13,7
14,14,0
15,15,0
16,16,5
17,17,5
18,18,1
19,19,7
20,20,4
21,21,0
22,22,5
23,23,5
24,24,7
25,25,5
26,26,6
27,27,6
28,28,7
29,29,2
30,30,5
31,31,6
32,32,5
33,33,1
34,34,7
35,35,7
36,36,5
37,37,7
38,38,0
39,39,1
40,40,0
41,41,2
42,42,1
43,43,5
44,44,0
45,45,0
46,46,5
47,47,5
48,48,0
49,49,6
50,50,0
51,51,2
52,52,5
53,53,7
54,54,1
55,55,1
56,56,2
57,57,0
58,58,5
59,59,0
60,60,7
61,61,5
62,62,0
63,63,5
64,64,4
65,65,0
66,66,7
67,67,4
68,68,1
69,69,1
70,70,1
71,71,7
72,72,7
73,73,4
74,74,2
75,75,1
76,76,7
77,77,4
78,78,7
79,79,0
80,80,0
81,81,0
82,82,5
83,83,7
84,84,0
85,85,4
86,86,2
87,87,0
88,88,5
89,89,0
90,90,0
91,91,0
92,92,7
93,93,7
94,94,4
95,95,5
96,96,5
97,97,0
98,98,5
99,99,5
100,100,5
101,101,6
102,102,5
103,103,7
104,104,1
105,105,5
106,106,5
107,107,1
108,108,1
109,109,5
110,110,1
111,111,5
112,112,5
113,113,1
114,114,0
115,115,1
116,116,5
117,117,7
118,118,3
119,119,3
120,120,1
121,121,5
122,122,5
123,123,0
124,124,5
125,125,5
126,126,4
127,127,7
128,128,5
129,129,7
130,130,1
131,131,0
132,132,7
133,133,1
134,134,0
135,135,0
136,136,7
137,137,0
138,138,1
139,139,1
140,140,1
141,141,6
142,142,5
143,143,7
144,144,0
145,145,7
146,146,0
147,147,0
148,148,5
149,149,1
150,150,5
151,151,5
152,152,0
153,153,5
154,154,0
155,155,0
156,156,7
157,157,1
158,158,7
159,159,5
160,160,2
161,161,4
162,162,2
163,163,0
164,164,2
165,165,7
166,166,7
167,167,2
168,168,5
169,169,7
170,170,7
171,171,7
172,172,7
173,173,5
174,174,1
175,175,7
176,176,0
177,177,7
178,178,0
179,179,0
180,180,4
181,181,7
182,182,5
183,183,5
184,184,7
185,185,7
186,186,7
187,187,0
188,188,0
189,189,0
190,190,2
191,191,5
192,192,0
193,193,4
194,194,2
195,195,1
196,196,1
197,197,1
198,198,7
199,199,7
200,200,1
201,201,5
202,202,5
203,203,5
204,204,1
205,205,1
206,206,1
207,207,1
208,208,7
209,209,5
210,210,7
211,211,1
212,212,7
213,213,2
214,214,1
215,215,7
216,216,2
217,217,7
218,218,7
219,219,2
220,220,7
221,221,7
222,222,0
223,223,7
224,224,5
225,225,5
226,226,2
227,227,5
228,228,7
229,229,7
230,230,7
231,231,0
232,232,7
233,233,7
234,234,5
235,235,7
236,236,0
237,237,7
238,238,1
239,239,0
240,240,0
241,241,7
242,242,2
243,243,5
244,244,0
245,245,0
246,246,0
247,247,0
248,248,0
249,249,0
250,250,7
251,251,4
252,252,0
253,253,0
254,254,4
255,255,0
256,256,0
257,257,5
258,258,7
259,259,5
260,260,1
261,261,1
262,262,5
263,263,0
264,264,5
265,265,4
266,266,0
267,267,0
268,268,4
269,269,7
270,270,1
271,271,4
272,272,0
273,273,7
274,274,7
275,275,0
276,276,0
277,277,1
278,278,2
279,279,5
280,280,0
281,281,1
282,282,0
283,283,7
284,284,1
285,285,2
286,286,6
287,287,0
288,288,0
289,289,2
290,290,2
291,291,0
292,292,4
293,293,1
294,294,5
295,295,0
296,296,1
297,297,7
298,298,5
299,299,1
300,300,1
301,301,7
302,302,5
303,303,7
304,304,5
305,305,7
306,306,7
307,307,0
308,308,7
309,309,0
310,310,1
311,311,1
312,312,1
313,313,5
314,314,5
315,315,0
316,316,0
317,317,5
318,318,5
319,319,5
320,320,5
321,321,3
322,322,3
323,323,5
324,324,5
325,325,5
326,326,1
327,327,5
328,328,5
329,329,5
330,330,1
331,331,1
332,332,0
333,333,0
334,334,0
335,335,5
336,336,0
337,337,2
338,338,0
339,339,0
340,340,4
341,341,4
342,342,0
343,343,0
344,344,5
345,345,1
346,346,5
347,347,0
348,348,7
349,349,0
350,350,1
351,351,0
352,352,0
353,353,0
354,354,7
355,355,0
356,356,4
357,357,2
358,358,7
359,359,0
360,360,5
361,361,5
362,362,5
363,363,1
364,364,6
365,365,5
366,366,0
367,367,5
368,368,5
369,369,0
370,370,7
371,371,5
372,372,6
373,373,7
374,374,5
375,375,1
376,376,1
377,377,4
378,378,5
379,379,0
380,380,2
381,381,7
382,382,0
383,383,7
384,384,0
385,385,1
386,386,5
387,387,0
388,388,0
389,389,7
390,390,5
391,391,7
392,392,2
393,393,4
394,394,0
395,395,0
396,396,2
397,397,2
398,398,0
399,399,5
400,400,7
401,401,2
402,402,7
403,403,6
404,404,5
405,405,5
406,406,7
407,407,5
408,408,2
409,409,7
410,410,1
411,411,5
412,412,0
413,413,5
414,414,0
415,415,5
416,416,7
417,417,7
418,418,1
419,419,5
420,420,5
421,421,5
422,422,5
423,423,7
424,424,0
425,425,0
426,426,2
427,427,5
428,428,2
429,429,7
430,430,7
431,431,5
432,432,4
433,433,7
434,434,7
435,435,0
436,436,6
437,437,7
438,438,4
439,439,5
440,440,0
441,441,0
442,442,7
443,443,2
444,444,7
445,445,4
446,446,0
447,447,0
448,448,2
449,449,2
450,450,1
451,451,7
452,452,5
453,453,6
454,454,5
455,455,5
456,456,0
457,457,1
458,458,5
