,ID,TARGET
0,0,0
1,1,3
2,2,1
3,3,1
4,4,1
5,5,1
6,6,3
7,7,0
8,8,3
9,9,1
10,10,3
11,11,3
12,12,3
13,13,1
14,14,0
15,15,3
16,16,1
17,17,0
18,18,3
19,19,1
20,20,2
21,21,1
22,22,1
23,23,1
24,24,1
25,25,1
26,26,1
27,27,1
28,28,3
29,29,3
30,30,1
31,31,1
32,32,1
33,33,3
34,34,1
35,35,1
36,36,1
37,37,3
38,38,1
39,39,0
40,40,1
41,41,3
42,42,0
43,43,1
44,44,3
45,45,1
46,46,1
47,47,0
48,48,1
49,49,1
50,50,3
51,51,3
52,52,1
53,53,1
54,54,3
55,55,3
56,56,3
57,57,1
58,58,1
59,59,3
60,60,3
61,61,1
62,62,1
63,63,1
64,64,2
65,65,2
66,66,3
67,67,2
68,68,0
69,69,3
70,70,0
71,71,1
72,72,1
73,73,2
74,74,2
75,75,3
76,76,1
77,77,2
78,78,3
79,79,1
80,80,1
81,81,1
82,82,0
83,83,1
84,84,1
85,85,2
86,86,3
87,87,2
88,88,1
89,89,1
90,90,2
91,91,1
92,92,3
93,93,3
94,94,2
95,95,1
96,96,1
97,97,1
98,98,0
99,99,0
100,100,0
101,101,1
102,102,0
103,103,3
104,104,0
105,105,0
106,106,1
107,107,3
108,108,3
109,109,0
110,110,3
111,111,0
112,112,0
113,113,0
114,114,3
115,115,0
116,116,1
117,117,1
118,118,0
119,119,0
120,120,3
121,121,0
122,122,0
123,123,1
124,124,0
125,125,0
126,126,2
127,127,3
128,128,0
129,129,1
130,130,3
131,131,0
132,132,1
133,133,3
134,134,1
135,135,3
136,136,3
137,137,3
138,138,0
139,139,3
140,140,3
141,141,1
142,142,0
143,143,1
144,144,1
145,145,1
146,146,3
147,147,3
148,148,1
149,149,3
150,150,1
151,151,1
152,152,1
153,153,1
154,154,1
155,155,3
156,156,3
157,157,3
158,158,1
159,159,1
160,160,2
161,161,2
162,162,3
163,163,3
164,164,3
165,165,3
166,166,3
167,167,3
168,168,1
169,169,1
170,170,1
171,171,3
172,172,3
173,173,1
174,174,3
175,175,1
176,176,1
177,177,1
178,178,3
179,179,3
180,180,2
181,181,3
182,182,1
183,183,1
184,184,1
185,185,1
186,186,1
187,187,3
188,188,3
189,189,0
190,190,3
191,191,0
192,192,1
193,193,2
194,194,3
195,195,3
196,196,3
197,197,3
198,198,3
199,199,1
200,200,3
201,201,0
202,202,1
203,203,3
204,204,3
205,205,3
206,206,3
207,207,3
208,208,3
209,209,0
210,210,3
211,211,3
212,212,1
213,213,3
214,214,0
215,215,1
216,216,3
217,217,1
218,218,1
219,219,3
220,220,1
221,221,1
222,222,3
223,223,3
224,224,1
225,225,1
226,226,3
227,227,1
228,228,1
229,229,3
230,230,3
231,231,3
232,232,3
233,233,3
234,234,1
235,235,1
236,236,1
237,237,3
238,238,3
239,239,1
240,240,3
241,241,1
242,242,3
243,243,1
244,244,3
245,245,1
246,246,2
247,247,1
248,248,2
249,249,1
250,250,1
251,251,2
252,252,1
253,253,1
254,254,2
255,255,1
256,256,3
257,257,1
258,258,3
259,259,1
260,260,3
261,261,3
262,262,0
263,263,3
264,264,1
265,265,2
266,266,1
267,267,1
268,268,2
269,269,3
270,270,3
271,271,2
272,272,3
273,273,1
274,274,3
275,275,1
276,276,2
277,277,0
278,278,3
279,279,1
280,280,1
281,281,3
282,282,1
283,283,1
284,284,3
285,285,3
286,286,1
287,287,3
288,288,1
289,289,3
290,290,3
291,291,1
292,292,2
293,293,3
294,294,0
295,295,1
296,296,3
297,297,1
298,298,1
299,299,3
300,300,3
301,301,3
302,302,1
303,303,1
304,304,0
305,305,3
306,306,1
307,307,1
308,308,1
309,309,3
310,310,3
311,311,3
312,312,3
313,313,0
314,314,0
315,315,0
316,316,1
317,317,0
318,318,0
319,319,0
320,320,1
321,321,0
322,322,0
323,323,0
324,324,0
325,325,1
326,326,0
327,327,0
328,328,0
329,329,0
330,330,3
331,331,3
332,332,3
333,333,3
334,334,3
335,335,0
336,336,2
337,337,2
338,338,2
339,339,1
340,340,2
341,341,2
342,342,2
343,343,3
344,344,0
345,345,3
346,346,1
347,347,1
348,348,3
349,349,3
350,350,0
351,351,3
352,352,1
353,353,3
354,354,3
355,355,3
356,356,2
357,357,2
358,358,1
359,359,1
360,360,1
361,361,1
362,362,0
363,363,0
364,364,1
365,365,1
366,366,3
367,367,1
368,368,1
369,369,3
370,370,1
371,371,0
372,372,1
373,373,3
374,374,1
375,375,0
376,376,3
377,377,2
378,378,1
379,379,1
380,380,3
381,381,1
382,382,3
383,383,1
384,384,3
385,385,3
386,386,1
387,387,3
388,388,1
389,389,3
390,390,1
391,391,3
392,392,3
393,393,2
394,394,1
395,395,1
396,396,3
397,397,3
398,398,2
399,399,1
400,400,3
401,401,3
402,402,1
403,403,1
404,404,1
405,405,1
406,406,1
407,407,0
408,408,3
409,409,3
410,410,3
411,411,1
412,412,3
413,413,1
414,414,1
415,415,1
416,416,3
417,417,1
418,418,3
419,419,1
420,420,1
421,421,1
422,422,0
423,423,3
424,424,3
425,425,1
426,426,3
427,427,1
428,428,3
429,429,3
430,430,1
431,431,1
432,432,2
433,433,3
434,434,3
435,435,1
436,436,1
437,437,1
438,438,2
439,439,1
440,440,3
441,441,3
442,442,3
443,443,3
444,444,1
445,445,2
446,446,3
447,447,3
448,448,3
449,449,3
450,450,3
451,451,1
452,452,0
453,453,1
454,454,1
455,455,1
456,456,0
457,457,3
458,458,1
459,459,1
460,460,2
461,461,3
462,462,3
463,463,3
464,464,3
465,465,3
466,466,1
467,467,3
468,468,3
469,469,1
470,470,1
471,471,1
472,472,1
473,473,1
474,474,1
475,475,1
476,476,3
477,477,1
478,478,1
479,479,1
480,480,1
481,481,1
482,482,1
483,483,3
484,484,1
485,485,0
486,486,3
487,487,3
488,488,3
489,489,0
490,490,1
491,491,3
492,492,3
493,493,1
494,494,1
495,495,3
496,496,1
497,497,1
498,498,1
499,499,2
500,500,1
501,501,1
502,502,2
503,503,3
504,504,3
505,505,1
506,506,1
507,507,3
508,508,1
509,509,3
510,510,1
511,511,1
512,512,1
513,513,1
514,514,1
515,515,1
516,516,3
517,517,1
518,518,3
519,519,0
520,520,0
521,521,1
522,522,1
523,523,1
