,ID,TARGET
0,0,0
1,1,1
2,2,2
3,3,3
4,4,0
5,5,2
6,6,2
7,7,1
8,8,1
9,9,1
10,10,1
11,11,2
12,12,0
13,13,0
14,14,2
15,15,0
16,16,2
17,17,1
18,18,1
19,19,2
20,20,2
21,21,0
22,22,0
23,23,0
24,24,1
25,25,2
26,26,1
27,27,1
28,28,1
29,29,2
30,30,1
31,31,1
32,32,1
33,33,1
34,34,1
35,35,1
36,36,3
37,37,2
38,38,0
39,39,0
40,40,2
41,41,3
42,42,0
43,43,3
44,44,2
45,45,0
46,46,3
47,47,3
48,48,2
49,49,1
50,50,0
51,51,2
52,52,1
53,53,0
54,54,2
55,55,3
56,56,1
57,57,2
58,58,0
59,59,2
60,60,2
61,61,2
62,62,3
63,63,0
64,64,2
65,65,2
66,66,2
67,67,2
68,68,2
69,69,2
70,70,3
71,71,1
72,72,1
73,73,2
74,74,1
75,75,0
76,76,1
77,77,1
78,78,0
79,79,3
80,80,3
81,81,2
82,82,0
83,83,1
84,84,3
85,85,1
86,86,1
87,87,1
88,88,0
89,89,1
90,90,1
91,91,0
92,92,2
93,93,2
94,94,1
95,95,3
96,96,3
97,97,3
98,98,2
99,99,3
100,100,3
101,101,1
102,102,3
103,103,3
104,104,3
105,105,3
106,106,1
107,107,2
108,108,1
109,109,0
110,110,2
111,111,3
112,112,3
113,113,2
114,114,0
115,115,3
116,116,0
117,117,1
118,118,3
119,119,0
120,120,0
121,121,0
122,122,0
123,123,3
124,124,2
125,125,0
126,126,0
127,127,1
128,128,2
129,129,0
130,130,2
131,131,3
132,132,1
133,133,0
134,134,3
135,135,3
136,136,2
137,137,2
138,138,3
139,139,1
140,140,3
141,141,0
142,142,3
143,143,0
144,144,2
145,145,1
146,146,2
147,147,3
148,148,0
149,149,2
150,150,2
151,151,0
152,152,1
153,153,0
154,154,2
155,155,1
156,156,3
157,157,3
158,158,0
159,159,0
160,160,2
161,161,1
162,162,1
163,163,2
164,164,1
165,165,1
166,166,3
167,167,1
168,168,0
169,169,3
170,170,0
171,171,2
172,172,1
173,173,3
174,174,2
175,175,0
176,176,2
177,177,0
178,178,3
179,179,1
180,180,2
181,181,0
182,182,0
183,183,3
184,184,3
185,185,3
186,186,2
187,187,2
188,188,3
189,189,3
190,190,1
191,191,3
192,192,3
193,193,1
194,194,2
195,195,2
196,196,2
197,197,2
198,198,2
199,199,0
200,200,2
201,201,0
202,202,3
203,203,2
204,204,2
205,205,2
206,206,2
207,207,2
208,208,1
209,209,2
210,210,2
211,211,2
212,212,3
213,213,1
214,214,3
215,215,2
216,216,2
217,217,1
218,218,2
219,219,1
220,220,3
221,221,0
222,222,1
223,223,0
224,224,0
225,225,1
226,226,1
227,227,0
228,228,1
229,229,2
230,230,2
231,231,1
232,232,0
233,233,0
234,234,1
235,235,1
236,236,3
237,237,1
238,238,2
239,239,1
240,240,3
241,241,1
242,242,1
243,243,3
244,244,2
245,245,0
246,246,2
247,247,0
248,248,1
249,249,2
250,250,0
251,251,1
252,252,0
253,253,0
254,254,1
255,255,0
256,256,0
257,257,3
258,258,1
259,259,0
260,260,3
261,261,0
262,262,0
263,263,1
264,264,1
265,265,1
266,266,0
267,267,1
268,268,2
269,269,0
270,270,2
271,271,3
272,272,3
273,273,3
274,274,2
275,275,3
276,276,2
277,277,0
278,278,2
279,279,3
280,280,0
281,281,2
282,282,0
283,283,3
284,284,2
285,285,2
286,286,1
287,287,2
288,288,2
289,289,1
290,290,2
291,291,3
292,292,2
293,293,2
294,294,2
295,295,0
296,296,2
297,297,0
298,298,3
299,299,1
300,300,3
301,301,2
302,302,0
303,303,3
304,304,3
305,305,0
306,306,3
307,307,2
308,308,3
309,309,2
310,310,3
311,311,0
312,312,1
313,313,3
314,314,3
315,315,3
316,316,3
317,317,2
318,318,3
319,319,0
320,320,0
321,321,3
322,322,3
323,323,3
324,324,3
325,325,3
326,326,2
327,327,3
328,328,2
329,329,2
330,330,0
331,331,1
332,332,1
333,333,2
334,334,2
335,335,3
336,336,2
337,337,1
338,338,2
339,339,0
340,340,1
341,341,1
342,342,2
343,343,0
344,344,2
345,345,2
346,346,0
347,347,0
348,348,2
349,349,0
350,350,0
351,351,2
352,352,0
353,353,1
354,354,0
355,355,2
356,356,3
357,357,2
358,358,2
359,359,0
360,360,0
361,361,0
362,362,2
363,363,2
364,364,1
365,365,3
366,366,3
367,367,0
368,368,1
369,369,2
370,370,1
371,371,3
372,372,0
373,373,0
374,374,0
375,375,2
376,376,2
377,377,1
378,378,3
379,379,0
380,380,1
381,381,1
382,382,2
383,383,1
384,384,2
385,385,2
386,386,3
387,387,2
388,388,1
389,389,2
390,390,3
391,391,2
392,392,1
393,393,2
394,394,2
395,395,2
396,396,3
397,397,1
398,398,3
399,399,3
400,400,1
401,401,2
402,402,0
403,403,0
404,404,3
405,405,3
406,406,1
407,407,2
408,408,1
409,409,1
410,410,3
411,411,1
412,412,1
413,413,1
414,414,1
415,415,0
416,416,0
417,417,1
418,418,0
419,419,2
420,420,3
421,421,1
422,422,3
423,423,0
424,424,3
425,425,3
426,426,2
427,427,3
428,428,2
429,429,1
430,430,1
431,431,3
432,432,1
433,433,3
434,434,1
435,435,0
436,436,1
437,437,2
438,438,2
439,439,3
440,440,2
441,441,1
442,442,2
443,443,1
444,444,1
445,445,2
446,446,2
447,447,2
448,448,2
449,449,2
450,450,0
451,451,0
452,452,3
453,453,1
454,454,2
455,455,1
456,456,3
457,457,0
458,458,0
459,459,2
460,460,3
461,461,2
462,462,2
463,463,2
464,464,1
465,465,2
466,466,1
467,467,3
468,468,3
469,469,1
470,470,0
471,471,0
472,472,0
473,473,1
474,474,1
475,475,2
476,476,3
477,477,0
478,478,1
479,479,3
480,480,3
481,481,0
482,482,1
483,483,0
484,484,0
485,485,0
486,486,1
487,487,0
488,488,2
489,489,3
490,490,0
491,491,2
492,492,1
493,493,1
494,494,3
495,495,1
496,496,3
497,497,1
498,498,3
499,499,1
500,500,1
501,501,1
502,502,1
503,503,0
504,504,2
505,505,1
506,506,1
507,507,1
508,508,0
509,509,2
510,510,3
511,511,2
512,512,2
513,513,3
514,514,0
515,515,1
516,516,1
517,517,3
518,518,2
519,519,3
520,520,0
521,521,2
522,522,0
523,523,1
524,524,1
525,525,2
526,526,2
527,527,3
528,528,2
529,529,3
530,530,2
531,531,1
532,532,2
533,533,2
534,534,2
535,535,2
536,536,2
537,537,2
538,538,0
539,539,2
540,540,2
541,541,2
542,542,2
543,543,2
544,544,3
545,545,3
546,546,0
547,547,0
548,548,2
549,549,3
550,550,3
551,551,1
552,552,0
553,553,2
554,554,0
555,555,1
556,556,1
557,557,2
558,558,3
559,559,3
560,560,0
561,561,1
562,562,1
563,563,1
564,564,1
565,565,3
566,566,0
567,567,3
568,568,0
569,569,0
570,570,3
571,571,2
572,572,2
573,573,2
574,574,1
575,575,2
576,576,2
577,577,2
578,578,3
579,579,3
580,580,2
581,581,2
582,582,1
583,583,2
584,584,1
585,585,2
586,586,0
587,587,3
588,588,3
589,589,3
590,590,3
591,591,2
592,592,1
593,593,1
594,594,0
595,595,0
596,596,3
597,597,1
598,598,2
599,599,2
600,600,0
601,601,0
602,602,1
603,603,0
604,604,2
605,605,0
606,606,2
607,607,3
608,608,3
609,609,2
610,610,3
611,611,1
612,612,3
613,613,0
614,614,3
615,615,0
616,616,0
617,617,0
618,618,1
619,619,2
620,620,2
621,621,2
622,622,3
623,623,2
624,624,0
625,625,3
626,626,1
627,627,3
628,628,3
629,629,0
630,630,0
631,631,2
632,632,1
633,633,1
